1	1	B	topic-01-microbiome-dynamics	微生態防禦動力學	ready_with_accepted_gap
2	1	Kepu	topic-01-microbiome-dynamics/kepu-1.1-good-bad-bacteria	微生態防禦動力學	ready
3	1	Kepu	topic-01-microbiome-dynamics/kepu-1.2-sterile-myth	微生態防禦動力學	ready
4	1	Kepu	topic-01-microbiome-dynamics/kepu-1.3-molecular-permeation	微生態防禦動力學	ready
5	1	Kepu	topic-01-microbiome-dynamics/kepu-1.4-daily-habits	微生態防禦動力學	ready
6	1	B	topic-02-ph-boundary	pH 值的生存邊界	ready
7	1	Kepu	topic-02-ph-boundary/kepu-2.1-what-is-ph	pH 值的生存邊界	ready
8	1	Kepu	topic-02-ph-boundary/kepu-2.2-golden-ratio-ph45	pH 值的生存邊界	ready
9	1	Kepu	topic-02-ph-boundary/kepu-2.3-recognizing-imbalance	pH 值的生存邊界	ready
10	1	Kepu	topic-02-ph-boundary/kepu-2.4-gentle-product-choice	pH 值的生存邊界	ready
11	1	Kepu	topic-02-ph-boundary/kepu-2.5-guarding-boundaries	pH 值的生存邊界	ready
12	2	B	topic-06-barrier-repair	屏障修復的負回饋循環	ready_with_accepted_gap
13	2	Kepu	topic-06-barrier-repair/kepu-6.1-barrier	屏障修復的負回饋循環	ready
14	2	Kepu	topic-06-barrier-repair/kepu-6.2-less-is-more	屏障修復的負回饋循環	ready
15	2	Kepu	topic-06-barrier-repair/kepu-6.3-let-body-speak	屏障修復的負回饋循環	ready
16	2	Kepu	topic-06-barrier-repair/kepu-6.4-self-healing	屏障修復的負回饋循環	ready
17	2	Kepu	topic-06-barrier-repair/kepu-6.5-patience-in-repair	屏障修復的負回饋循環	ready
18	3	B	topic-03-molecular-permeation	分子滲透與吸收效率	ready
19	3	Kepu	topic-03-molecular-permeation/kepu-3.1-absorption-molecular-size	分子滲透與吸收效率	ready
20	3	Kepu	topic-03-molecular-permeation/kepu-3.2-art-of-penetration	分子滲透與吸收效率	ready
21	3	Kepu	topic-03-molecular-permeation/kepu-3.3-absorption	分子滲透與吸收效率	ready
22	3	Kepu	topic-03-molecular-permeation/kepu-3.4-personalized-formula	分子滲透與吸收效率	ready
23	3	Kepu	topic-03-molecular-permeation/kepu-3.5-future-trend	分子滲透與吸收效率	ready
24	3	B	topic-05-ingredient-purity	成分潔癖的科學依據	ready
25	3	Kepu	topic-05-ingredient-purity/kepu-5.1-label-reading	成分潔癖的科學依據	ready
26	3	Kepu	topic-05-ingredient-purity/kepu-5.2-minimalist-trend	成分潔癖的科學依據	ready
27	3	Kepu	topic-05-ingredient-purity/kepu-5.3-ingredients-to-avoid	成分潔癖的科學依據	ready
28	3	Kepu	topic-05-ingredient-purity/kepu-5.4-smart-consumer	成分潔癖的科學依據	ready
29	3	Kepu	topic-05-ingredient-purity/kepu-5.5-discipline	成分潔癖的科學依據	ready
30	4	B	topic-08-data-vs-emotion	數據與感性的交界	ready
31	4	Kepu	topic-08-data-vs-emotion/kepu-8.1-meaning-of-data	數據與感性的交界	ready
32	4	Kepu	topic-08-data-vs-emotion/kepu-8.2-body-signals-as-data	數據與感性的交界	ready
33	4	Kepu	topic-08-data-vs-emotion/kepu-8.3-gentle-science	數據與感性的交界	ready
34	4	Kepu	topic-08-data-vs-emotion/kepu-8.4-data-as-tool	數據與感性的交界	ready
35	4	Kepu	topic-08-data-vs-emotion/kepu-8.5-transparency	數據與感性的交界	ready
36	4	B	topic-09-selective-rights	挑剔肌膚的權利	ready
37	4	Kepu	topic-09-selective-rights/kepu-9.1-quality-life	挑剔肌膚的權利	ready
38	4	Kepu	topic-09-selective-rights/kepu-9.2-market-reality	挑剔肌膚的權利	ready
39	4	Kepu	topic-09-selective-rights/kepu-9.3-autonomy	挑剔肌膚的權利	ready
40	4	Kepu	topic-09-selective-rights/kepu-9.4-freedom-to-choose	挑剔肌膚的權利	ready
41	5	B	topic-04-daily-ritual	環境平衡與生活儀式	ready
42	5	Kepu	topic-04-daily-ritual/kepu-4.1-me-time-value	環境平衡與生活儀式	ready
43	5	Kepu	topic-04-daily-ritual/kepu-4.2-ritual-sense	環境平衡與生活儀式	ready
44	5	Kepu	topic-04-daily-ritual/kepu-4.3-self-love-practice	環境平衡與生活儀式	ready
45	5	Kepu	topic-04-daily-ritual/kepu-4.4-sensory-healing	環境平衡與生活儀式	ready
46	5	Kepu	topic-04-daily-ritual/kepu-4.5-body-connection	環境平衡與生活儀式	ready
47	5	B	topic-07-microclimate	微氣候對人體的影響	ready
48	5	Kepu	topic-07-microclimate/kepu-7.1-concept	微氣候對人體的影響	ready
49	5	Kepu	topic-07-microclimate/kepu-7.2-taiwan-humidity	微氣候對人體的影響	ready
50	5	Kepu	topic-07-microclimate/kepu-7.3-smart-microclimate-management	微氣候對人體的影響	ready
51	5	Kepu	topic-07-microclimate/kepu-7.4-freshness-philosophy	微氣候對人體的影響	ready
52	5	Kepu	topic-07-microclimate/kepu-7.5-body-sovereignty	微氣候對人體的影響	ready
53	6	B	topic-10-repair-to-maintain	從「修復」到「維持」	ready
54	6	Kepu	topic-10-repair-to-maintain/kepu-10.1-long-term-investment	從「修復」到「維持」	ready
55	6	Kepu	topic-10-repair-to-maintain/kepu-10.2-brave-refusal	從「修復」到「維持」	ready
56	6	Kepu	topic-10-repair-to-maintain/kepu-10.3-wise-choice	從「修復」到「維持」	ready
57	6	Kepu	topic-10-repair-to-maintain/kepu-10.4-ease-as-before	從「修復」到「維持」	ready
58	6	Kepu	topic-10-repair-to-maintain/kepu-10.5-commitment	從「修復」到「維持」	ready
59	7	Bonus-Reuse	archive/topic10-unused-concept-draft/investment-mockup-a	身體的資產：妳最珍貴的投資（唯一確認未使用的延伸素材）	needs_adaptation
